Joke Number,Text
1,A man visits the doctor . The doctor
1,the doctor . The doctor says `` I
1,The doctor says `` I have bad news
1,`` I have bad news for you.You have
1,bad news for you.You have cancer and Alzheimer
1,you.You have cancer and Alzheimer 's disease ''
1,and Alzheimer 's disease '' . The man
1,disease '' . The man replies `` Well
1,"The man replies `` Well , thank God"
1,"`` Well , thank God I do n't"
1,thank God I do n't have cancer !
2,"Two cannibals are eating a clown , one"
2,"eating a clown , one turns to other"
2,", one turns to other and says :"
2,to other and says : `` Does this
2,says : `` Does this taste funny to
3,Q : Whats the difference between greeting a
3,the difference between greeting a Queen and greeting
3,greeting a Queen and greeting the President of
3,and greeting the President of the United States
3,President of the United States ? A :
3,United States ? A : You only have
3,A : You only have to get on
3,only have to get on one knee to
3,get on one knee to greet the queen
4,"Q . What do a hurricane , a"
4,"do a hurricane , a tornado , and"
4,", a tornado , and a redneck divorce"
4,", and a redneck divorce all have in"
4,redneck divorce all have in common ? A
4,have in common ? A . Someone 's
4,? A . Someone 's going to lose
4,Someone 's going to lose their trailer ...
5,A guy stood over his tee shot for
5,over his tee shot for what seemed an
5,"shot for what seemed an eternity , looking"
5,"seemed an eternity , looking up , looking"
5,", looking up , looking down , measuring"
5,", looking down , measuring the distance ,"
5,", measuring the distance , figuring the wind"
5,"distance , figuring the wind direction and speed"
5,the wind direction and speed . Driving his
5,and speed . Driving his partner nuts .
5,Driving his partner nuts . Finally his exasperated
5,"nuts . Finally his exasperated partner says ,"
5,"his exasperated partner says , `` What the"
5,"says , `` What the hell is taking"
5,What the hell is taking so long ?
5,is taking so long ? Hit the goddamn
5,long ? Hit the goddamn ball ! ''
5,the goddamn ball ! '' The guy answers
5,"! '' The guy answers , `` My"
5,"guy answers , `` My wife is up"
5,`` My wife is up there watching me
5,is up there watching me from the clubhouse
5,watching me from the clubhouse . I want
5,the clubhouse . I want to make this
5,I want to make this a perfect shot
5,make this a perfect shot . '' ``
5,"perfect shot . '' `` Well , hell"
5,"'' `` Well , hell , man ,"
5,", hell , man , you do n't"
5,"man , you do n't stand a snowball"
5,do n't stand a snowball 's chance in
5,a snowball 's chance in hell of hitting
5,chance in hell of hitting her from here
6,They asked the Japanese visitor if they have
6,Japanese visitor if they have elections in his
6,they have elections in his country . ``
6,in his country . `` Every Morning ''
6,. `` Every Morning '' he answers .
7,The father was very anxious to marry off
7,very anxious to marry off his only daughter
7,marry off his only daughter so he wanted
7,only daughter so he wanted to impress her
7,he wanted to impress her date . ``
7,impress her date . `` Do you like
7,". `` Do you like to screw ,"
7,"you like to screw , '' he says"
7,"screw , '' he says . `` Huh"
7,he says . `` Huh '' replied the
7,`` Huh '' replied the surprised first date
7,replied the surprised first date . `` My
7,first date . `` My daughter she loves
7,`` My daughter she loves to screw and
7,she loves to screw and she 's good
7,"screw and she 's good at it ,"
7,"'s good at it , you and her"
7,"it , you and her should go screw"
7,"and her should go screw , '' carefully"
7,"go screw , '' carefully explained the father"
7,'' carefully explained the father . Now very
7,the father . Now very interested the boy
7,"Now very interested the boy replied , ``"
7,"the boy replied , `` Yes , sir"
7,", `` Yes , sir . '' Minutes"
7,", sir . '' Minutes later the girl"
7,'' Minutes later the girl came down the
7,"the girl came down the stairs , kissed"
7,"down the stairs , kissed her father goodbye"
7,", kissed her father goodbye and the couple"
7,father goodbye and the couple left . After
7,the couple left . After only a few
7,. After only a few minutes she reappeared
7,"a few minutes she reappeared , furious ,"
7,"she reappeared , furious , dress torn ,"
7,"furious , dress torn , hair a mess"
7,"torn , hair a mess and screamed ``"
7,"a mess and screamed `` Dammit , Daddy"
7,"screamed `` Dammit , Daddy , it 's"
7,", Daddy , it 's the TWIST ,"
7,"it 's the TWIST , get it straight"
8,Q : What did the blind person say
8,did the blind person say when given some
8,person say when given some matzah ? A
8,given some matzah ? A : Who the
8,? A : Who the hell wrote this
9,Q . What is orange and sounds like
9,is orange and sounds like a parrot ?
9,sounds like a parrot ? A . A
10,How many men does it take to screw
10,does it take to screw in a light
10,to screw in a light bulb ? One
10,a light bulb ? One ... men will
10,? One ... men will screw anything .
11,A dog walks into Western Union and asks
11,into Western Union and asks the clerk to
11,and asks the clerk to send a telegram
11,clerk to send a telegram . He fills
11,a telegram . He fills out a form
11,He fills out a form on which he
11,a form on which he writes down the
11,which he writes down the telegram he wishes
11,down the telegram he wishes to send :
11,he wishes to send : `` Bow wow
11,"send : `` Bow wow wow , Bow"
11,"Bow wow wow , Bow wow wow ."
11,", Bow wow wow . '' The clerk"
11,"wow . '' The clerk says , ``"
11,"The clerk says , `` You can add"
11,", `` You can add another 'Bow wow"
11,can add another 'Bow wow ' for the
11,'Bow wow ' for the same price .
11,for the same price . '' The dog
11,"price . '' The dog responded , ``"
11,"The dog responded , `` Now would n't"
11,", `` Now would n't that sound a"
11,would n't that sound a little silly ?
12,Q : If a person who speaks three
12,a person who speaks three languages is called
12,"speaks three languages is called `` tri-lingual ,"
12,"is called `` tri-lingual , '' and a"
12,"tri-lingual , '' and a person who speaks"
12,and a person who speaks two languages is
12,who speaks two languages is called `` bi-lingual
12,"languages is called `` bi-lingual , '' what"
12,"`` bi-lingual , '' what do call a"
12,'' what do call a person who only
12,call a person who only speaks one language
12,who only speaks one language ? A :
13,This couple had an excellent relationship going until
13,an excellent relationship going until one day he
13,going until one day he came home from
13,day he came home from work to find
13,home from work to find his girlfriend packing
13,to find his girlfriend packing . He asked
13,girlfriend packing . He asked her why she
13,He asked her why she was leaving him
13,why she was leaving him and she told
13,leaving him and she told him that she
13,she told him that she had heard awful
13,that she had heard awful things about him
13,heard awful things about him . `` What
13,about him . `` What could they possibly
13,`` What could they possibly have said to
13,they possibly have said to make you move
13,said to make you move out ? ''
13,you move out ? '' `` They told
13,? '' `` They told me that you
13,They told me that you were a pedophile
13,that you were a pedophile . '' He
13,"a pedophile . '' He replied , ``"
13,"'' He replied , `` That 's an"
13,", `` That 's an awfully big word"
13,'s an awfully big word for a ten
13,big word for a ten year old .
14,What 's the difference between a MacIntosh and
14,difference between a MacIntosh and an Etch-A-Sketch ?
14,MacIntosh and an Etch-A-Sketch ? You do n't
14,Etch-A-Sketch ? You do n't have to shake
14,do n't have to shake the Mac to
14,to shake the Mac to clear the screen
15,What 's the difference between a used tire
15,difference between a used tire and 365 used
15,used tire and 365 used condoms ? One
15,365 used condoms ? One 's a Goodyear
15,"? One 's a Goodyear , the other"
15,"a Goodyear , the other 's a great"
16,A duck walks into a pharmacy and asks
16,into a pharmacy and asks for a condom
16,and asks for a condom . The pharmacist
16,a condom . The pharmacist says `` Would
16,The pharmacist says `` Would you like me
16,`` Would you like me to stick that
16,like me to stick that on your bill
16,stick that on your bill ? '' The
16,your bill ? '' The duck says :
16,'' The duck says : `` What kind
16,says : `` What kind of duck do
16,What kind of duck do you think I
16,duck do you think I am ! ''
17,Q : What is the Australian word for
17,is the Australian word for a boomerang that
17,word for a boomerang that wo n't come
17,boomerang that wo n't come back ? A
17,n't come back ? A : A stick
18,What do you get when you run over
18,get when you run over a parakeet with
18,run over a parakeet with a lawnmower ?
18,parakeet with a lawnmower ? Shredded tweet .
19,Two kindergarten girls were talking outside : one
19,"were talking outside : one said , ``"
19,": one said , `` You wo n't"
19,", `` You wo n't believe what I"
19,wo n't believe what I saw on the
19,what I saw on the patio yesterday --
19,on the patio yesterday -- a condom !
19,yesterday -- a condom ! '' The second
19,"condom ! '' The second girl asked ,"
19,"The second girl asked , `` What 's"
19,"asked , `` What 's a patio ?"
20,A guy walks into a bar and sits
20,into a bar and sits down next to
20,and sits down next to an extremely gorgeous
20,next to an extremely gorgeous woman . The
20,extremely gorgeous woman . The first thing he
20,. The first thing he notices about her
20,"thing he notices about her though , are"
20,"about her though , are her pants ."
20,", are her pants . They were skin-tight"
20,"pants . They were skin-tight , high-waisted and"
20,"were skin-tight , high-waisted and had no obvious"
20,high-waisted and had no obvious mechanism ( zipper
20,"no obvious mechanism ( zipper , buttons or"
20,"( zipper , buttons or velcro ) for"
20,buttons or velcro ) for opening them .
20,) for opening them . After several minutes
20,them . After several minutes of puzzling over
20,several minutes of puzzling over how she got
20,puzzling over how she got the pants up
20,she got the pants up over her hips
20,"pants up over her hips , he finally"
20,"her hips , he finally worked up the"
20,he finally worked up the nerve to ask
20,up the nerve to ask her . ``
20,to ask her . `` Excuse me miss
20,". `` Excuse me miss , but how"
20,"me miss , but how do you get"
20,but how do you get into your pants
20,you get into your pants ? '' ``
20,"your pants ? '' `` Well , ''"
20,"'' `` Well , '' she replied ,"
20,", '' she replied , `` you can"
20,"replied , `` you can start by buying"
20,you can start by buying me a drink
21,Clinton returns from a vacation in Arkansas and
21,a vacation in Arkansas and walks down the
21,Arkansas and walks down the steps of Air
21,down the steps of Air Force One with
21,of Air Force One with two pigs under
21,One with two pigs under his arms .
21,pigs under his arms . At the bottom
21,arms . At the bottom of the steps
21,"the bottom of the steps , he says"
21,"the steps , he says to the honor"
21,"he says to the honor guardsman , ``"
21,"the honor guardsman , `` These are genuine"
21,", `` These are genuine Arkansas Razor-Back Hogs"
21,are genuine Arkansas Razor-Back Hogs . I got
21,Razor-Back Hogs . I got this one for
21,I got this one for Chelsea and this
21,one for Chelsea and this one for Hillary
21,and this one for Hillary . '' The
21,"for Hillary . '' The guardsman replies ,"
21,"'' The guardsman replies , `` Nice trade"
21,"replies , `` Nice trade , Sir ."
22,"A mechanical , electrical and a software engineer"
22,electrical and a software engineer from Microsoft were
22,software engineer from Microsoft were driving through the
22,Microsoft were driving through the desert when the
22,through the desert when the car broke down
22,when the car broke down . The mechanical
22,broke down . The mechanical engineer said ``
22,The mechanical engineer said `` It seems to
22,said `` It seems to be a problem
22,seems to be a problem with the fuel
22,"a problem with the fuel injection system ,"
22,"the fuel injection system , why do n't"
22,"system , why do n't we pop the"
22,do n't we pop the hood and I
22,pop the hood and I 'll take a
22,and I 'll take a look at it
22,take a look at it . '' To
22,at it . '' To which the electrical
22,"'' To which the electrical engineer replied ,"
22,"the electrical engineer replied , `` No I"
22,"replied , `` No I think it 's"
22,No I think it 's just a loose
22,"it 's just a loose ground wire ,"
22,"a loose ground wire , I 'll get"
22,"wire , I 'll get out and take"
22,'ll get out and take a look .
22,"and take a look . '' Then ,"
22,"look . '' Then , the Microsoft engineer"
22,"Then , the Microsoft engineer jumps in ."
22,"Microsoft engineer jumps in . `` No ,"
22,"in . `` No , no , no"
22,"No , no , no . If we"
22,", no . If we just close up"
22,If we just close up all the windows
22,"close up all the windows , get out"
22,"the windows , get out , wait a"
22,"get out , wait a few minutes ,"
22,"wait a few minutes , get back in"
22,"minutes , get back in , and then"
22,"back in , and then reopen the windows"
22,and then reopen the windows everything will work
22,the windows everything will work fine . ''
23,An old Scotsmen is sitting with a younger
23,is sitting with a younger Scottish gentleman and
23,a younger Scottish gentleman and says the boy
23,gentleman and says the boy . `` Ah
23,"the boy . `` Ah , lad look"
23,"`` Ah , lad look out that window"
23,lad look out that window . You see
23,that window . You see that stone wall
23,"You see that stone wall there , I"
23,"stone wall there , I built it with"
23,", I built it with me own bare"
23,"it with me own bare hands , placed"
23,"own bare hands , placed every stone meself"
23,", placed every stone meself . But do"
23,stone meself . But do they call me
23,But do they call me MacGregor the wall
23,call me MacGregor the wall builder ? No
23,the wall builder ? No ! He Takes
23,? No ! He Takes a few sips
23,He Takes a few sips of his beer
23,"few sips of his beer then says ,"
23,"his beer then says , `` Aye ,"
23,"says , `` Aye , and look out"
23,"Aye , and look out on that lake"
23,look out on that lake and eye that
23,that lake and eye that beautiful pier .
23,eye that beautiful pier . I built it
23,"pier . I built it meself , laid"
23,"built it meself , laid every board and"
23,", laid every board and hammered each nail"
23,board and hammered each nail but do they
23,each nail but do they call me MacGregor
23,do they call me MacGregor the pier builder
23,me MacGregor the pier builder ? No !
23,pier builder ? No ! He continues ...
23,No ! He continues ... '' And lad
23,"continues ... '' And lad , you see"
23,"And lad , you see that road ?"
23,you see that road ? That too I
23,road ? That too I build with me
23,too I build with me own bare hands
23,with me own bare hands . Laid every
23,bare hands . Laid every inch of pavement
23,"Laid every inch of pavement meself , but"
23,"of pavement meself , but do they call"
23,", but do they call MacGregor the road"
23,they call MacGregor the road builder ? No
23,the road builder ? No ! '' Again
23,? No ! '' Again he returns to
23,'' Again he returns to his beer for
23,returns to his beer for a few sips
23,"beer for a few sips , then says"
23,"few sips , then says , `` Agh"
23,"then says , `` Agh , but you"
23,"`` Agh , but you screw one sheep"
24,Q . What 's 200 feet long and
24,'s 200 feet long and has 4 teeth
24,long and has 4 teeth ? A .
24,4 teeth ? A . The front row
24,A . The front row at a Willie
24,front row at a Willie Nelson Concert .
25,Q : What 's the difference between a
25,'s the difference between a Lawyer and a
25,between a Lawyer and a Plumber ? A
25,and a Plumber ? A : A Plumber
25,? A : A Plumber works to unclog
25,A Plumber works to unclog the system .
26,President Clinton looks up from his desk in
26,up from his desk in the Oval Office
26,desk in the Oval Office to see one
26,Oval Office to see one of his aides
26,see one of his aides nervously approach him
26,his aides nervously approach him . `` What
26,approach him . `` What is it ?
26,`` What is it ? '' exclaims the
26,it ? '' exclaims the President . ``
26,exclaims the President . `` It 's this
26,. `` It 's this Abortion Bill Mr.
26,"'s this Abortion Bill Mr. President , what"
26,"Bill Mr. President , what do you want"
26,", what do you want to do about"
26,you want to do about it ? ''
26,do about it ? '' the aide replies
26,? '' the aide replies . `` Just
26,aide replies . `` Just go ahead and
26,`` Just go ahead and pay it .
26,ahead and pay it . '' responds the
27,A man arrives at the gates of heaven
27,at the gates of heaven . St. Peter
27,"of heaven . St. Peter asks , ``"
27,"St. Peter asks , `` Religion ? ''"
27,", `` Religion ? '' The man says"
27,"? '' The man says , `` Methodist"
27,"man says , `` Methodist . '' St."
27,`` Methodist . '' St. Peter looks down
27,"'' St. Peter looks down his list ,"
27,"looks down his list , and says ,"
27,"list , and says , `` Go to"
27,"says , `` Go to room 24 ,"
27,"Go to room 24 , but be very"
27,"24 , but be very quiet as you"
27,be very quiet as you pass room 8
27,as you pass room 8 . '' Another
27,room 8 . '' Another man arrives at
27,'' Another man arrives at the gates of
27,arrives at the gates of heaven . ``
27,gates of heaven . `` Religion ? ''
27,. `` Religion ? '' `` Baptist .
27,? '' `` Baptist . '' `` Go
27,Baptist . '' `` Go to room 18
27,"`` Go to room 18 , but be"
27,"room 18 , but be very quiet as"
27,but be very quiet as you pass room
27,quiet as you pass room 8 . ''
27,pass room 8 . '' A third man
27,. '' A third man arrives at the
27,third man arrives at the gates . ``
27,at the gates . `` Religion ? ''
27,. `` Religion ? '' `` Jewish .
27,? '' `` Jewish . '' `` Go
27,Jewish . '' `` Go to room 11
27,"`` Go to room 11 , but be"
27,"room 11 , but be very quiet as"
27,but be very quiet as you pass room
27,quiet as you pass room 8 . ''
27,pass room 8 . '' The man says
27,". '' The man says , `` I"
27,"man says , `` I can understand there"
27,`` I can understand there being different rooms
27,understand there being different rooms for different religions
27,"different rooms for different religions , but why"
27,"different religions , but why must I be"
27,but why must I be quiet when I
27,I be quiet when I pass room 8
27,when I pass room 8 ? '' St.
27,room 8 ? '' St. Peter tells him
27,"'' St. Peter tells him , `` Well"
27,"tells him , `` Well the Catholics are"
27,`` Well the Catholics are in room 8
27,"Catholics are in room 8 , and they"
27,"room 8 , and they think they 're"
27,and they think they 're the only ones
28,What do you call an American in the
28,call an American in the finals of the
28,in the finals of the world cup ?
28,of the world cup ? `` Hey Beer
28,cup ? `` Hey Beer Man ! ''
29,Out in the backwoods of some midwestern state
29,"backwoods of some midwestern state , little Johnny"
29,"midwestern state , little Johnny arrives at school"
29,little Johnny arrives at school an hour late
29,at school an hour late . Teacher :
29,hour late . Teacher : `` Why are
29,Teacher : `` Why are you so late
29,"Why are you so late , John ?"
29,"so late , John ? '' Johny :"
29,John ? '' Johny : `` My big
29,Johny : `` My big brother got shot
29,My big brother got shot in the ass
29,got shot in the ass . '' (
29,the ass . '' ( the teacher corrects
29,'' ( the teacher corrects his speech )
29,teacher corrects his speech ) Teacher : ``
29,speech ) Teacher : `` Rectum . ''
29,: `` Rectum . '' Johnny : ``
29,. '' Johnny : `` Wrecked him !
29,": `` Wrecked him ! ? Hell ,"
29,"him ! ? Hell , It damn near"
29,"Hell , It damn near killed him !"
30,An explorer in the deepest Amazon suddenly finds
30,the deepest Amazon suddenly finds himself surrounded by
30,suddenly finds himself surrounded by a bloodthirsty group
30,surrounded by a bloodthirsty group of natives .
30,bloodthirsty group of natives . Upon surveying the
30,"natives . Upon surveying the situation , he"
30,"surveying the situation , he says quietly to"
30,", he says quietly to himself , ``"
30,"quietly to himself , `` Oh God ,"
30,", `` Oh God , I 'm screwed"
30,"God , I 'm screwed . '' The"
30,'m screwed . '' The sky darkens and
30,'' The sky darkens and a voice booms
30,"darkens and a voice booms out , ``"
30,"voice booms out , `` No , you"
30,", `` No , you are NOT screwed"
30,", you are NOT screwed . Pick up"
30,NOT screwed . Pick up that stone at
30,Pick up that stone at your feet and
30,stone at your feet and bash in the
30,feet and bash in the head of the
30,in the head of the chief standing in
30,of the chief standing in front of you
30,standing in front of you . '' So
30,of you . '' So with the stone
30,'' So with the stone he bashes the
30,the stone he bashes the life out of
30,bashes the life out of the chief .
30,out of the chief . Standing above the
30,"chief . Standing above the lifeless body ,"
30,"above the lifeless body , breathing heavily looking"
30,"body , breathing heavily looking at 100 angry"
30,heavily looking at 100 angry natives ... The
30,100 angry natives ... The voice booms out
30,"... The voice booms out again , ``"
30,"booms out again , `` Okay ..... NOW"
30,", `` Okay ..... NOW you 're screwed"
31,"A guy walks into a bar , orders"
31,"into a bar , orders a beer and"
31,", orders a beer and says to the"
31,"beer and says to the bartender , ``"
31,"to the bartender , `` Hey , I"
31,", `` Hey , I got this great"
31,", I got this great Polish Joke ..."
31,this great Polish Joke ... '' The barkeep
31,Joke ... '' The barkeep glares at him
31,The barkeep glares at him and says in
31,at him and says in a warning tone
31,says in a warning tone of voice :
31,warning tone of voice : `` Before you
31,voice : `` Before you go telling that
31,Before you go telling that joke you better
31,telling that joke you better know that I
31,"you better know that I 'm Polish ,"
31,"that I 'm Polish , both bouncers are"
31,"Polish , both bouncers are Polish and so"
31,bouncers are Polish and so are most of
31,and so are most of my customers ''
31,most of my customers '' `` Okay ''
31,customers '' `` Okay '' says the customer
31,"Okay '' says the customer , '' I"
31,"the customer , '' I 'll tell it"
31,'' I 'll tell it very slowly .
32,A Jewish young man was seeing a psychiatrist
32,man was seeing a psychiatrist for an eating
32,a psychiatrist for an eating and sleeping disorder
32,an eating and sleeping disorder . `` I
32,sleeping disorder . `` I am so obsessed
32,`` I am so obsessed with my mother
32,so obsessed with my mother ... As soon
32,my mother ... As soon as I go
32,"As soon as I go to sleep ,"
32,"I go to sleep , I start dreaming"
32,"sleep , I start dreaming , and everyone"
32,"start dreaming , and everyone in my dream"
32,and everyone in my dream turns into my
32,my dream turns into my mother . I
32,into my mother . I wake up in
32,. I wake up in such a state
32,"up in such a state , all I"
32,"a state , all I can do is"
32,all I can do is go downstairs and
32,do is go downstairs and eat a piece
32,downstairs and eat a piece of toast .
32,a piece of toast . '' The psychiatrist
32,toast . '' The psychiatrist replies : ``
32,"The psychiatrist replies : `` What , just"
32,": `` What , just one piece of"
32,", just one piece of toast , for"
32,"piece of toast , for a big boy"
32,", for a big boy like you ?"
33,`` May I take your order ? ''
33,take your order ? '' the waiter asked
33,? '' the waiter asked . `` Yes
33,"waiter asked . `` Yes , how do"
33,"`` Yes , how do you prepare your"
33,how do you prepare your chickens ? ''
33,prepare your chickens ? '' `` Nothing special
33,"? '' `` Nothing special sir , ''"
33,"Nothing special sir , '' he replied ."
33,", '' he replied . `` We just"
33,replied . `` We just tell them straight
33,We just tell them straight out that they
33,them straight out that they 're going to
33,that they 're going to die . ''
34,What is the difference between men and women
34,difference between men and women : A woman
34,and women : A woman wants one man
34,A woman wants one man to satisfy her
34,one man to satisfy her every need .
34,satisfy her every need . A man wants
34,need . A man wants every woman to
34,man wants every woman to satisfy his one
35,Q . What 's the difference between a
35,'s the difference between a man and a
35,between a man and a toilet ? A
35,and a toilet ? A . A toilet
35,? A . A toilet does n't follow
35,A toilet does n't follow you around after
35,n't follow you around after you use it
36,How many Irishmen does it take to change
36,does it take to change a lightbulb ?
36,"to change a lightbulb ? Two , one"
36,"lightbulb ? Two , one to hold the"
36,", one to hold the lightbulb and the"
36,hold the lightbulb and the other to drink
36,and the other to drink until the room
37,What does an atheist say during an orgasm
37,atheist say during an orgasm ? `` Oh
37,an orgasm ? `` Oh Darwin ! Oh
37,`` Oh Darwin ! Oh Darwin ! ...
38,Two men are discussing the age old question
38,discussing the age old question : who enjoys
38,"old question : who enjoys sex more ,"
38,"who enjoys sex more , the man or"
38,"more , the man or the woman ?"
38,man or the woman ? A woman walks
38,woman ? A woman walks by and listens
38,woman walks by and listens in for awhile
38,and listens in for awhile and then interrupts
38,for awhile and then interrupts : `` Listen
38,then interrupts : `` Listen you guys .
38,`` Listen you guys . You know when
38,guys . You know when your ear itches
38,know when your ear itches and you put
38,ear itches and you put in your little
38,you put in your little finger and wiggle
38,your little finger and wiggle it around for
38,and wiggle it around for awhile ? Afterward
38,"around for awhile ? Afterward , which feels"
38,"? Afterward , which feels better , your"
38,"which feels better , your finger or your"
38,", your finger or your ear ? ''"
39,Arnold Swartzeneger and Sylvester Stallone are making a
39,Sylvester Stallone are making a movie about the
39,making a movie about the lives of the
39,about the lives of the great composers .
39,of the great composers . Stallone says ``
39,composers . Stallone says `` I want to
39,says `` I want to be Mozart .
39,want to be Mozart . '' Swartzeneger says
39,Mozart . '' Swartzeneger says : `` In
39,Swartzeneger says : `` In that case ...
39,`` In that case ... I 'll be
39,case ... I 'll be Bach . ''
40,A horse walks into a bar . Bartender
40,into a bar . Bartender says : ``
40,". Bartender says : `` So , why"
40,": `` So , why the long face"
41,A boy comes home from school and tells
41,home from school and tells his mother that
41,and tells his mother that he got a
41,mother that he got a part in the
41,got a part in the school play .
41,in the school play . `` What part
41,play . `` What part ? '' the
41,What part ? '' the mother asked .
41,'' the mother asked . `` I play
41,asked . `` I play a Jewish husband
41,"I play a Jewish husband , '' the"
41,"Jewish husband , '' the boy replied ."
41,'' the boy replied . `` Go back
41,replied . `` Go back to school and
41,Go back to school and tell your teacher
41,school and tell your teacher that you want
41,your teacher that you want a speaking role
42,A couple has been married for 75 years
42,been married for 75 years . For the
42,75 years . For the husband 's 95th
42,"For the husband 's 95th birthday , his"
42,"'s 95th birthday , his wife decides to"
42,", his wife decides to surprise him by"
42,decides to surprise him by hiring a prostitute
42,him by hiring a prostitute . That day
42,"a prostitute . That day , the doorbell"
42,"That day , the doorbell rings . The"
42,the doorbell rings . The husband uses his
42,. The husband uses his walker to get
42,uses his walker to get to the door
42,to get to the door and opens it
42,the door and opens it . A 21-year-old
42,opens it . A 21-year-old in a latex
42,A 21-year-old in a latex outfit smiles and
42,"a latex outfit smiles and says , ``"
42,"smiles and says , `` Hi , I"
42,", `` Hi , I here to give"
42,", I here to give you super sex"
42,to give you super sex ! '' The
42,super sex ! '' The old man says
42,"'' The old man says , `` I"
42,"man says , `` I 'll take the"
42,`` I 'll take the soup . ''
43,There was an engineer who had an exceptional
43,engineer who had an exceptional gift for fixing
43,an exceptional gift for fixing all things mechanical
43,for fixing all things mechanical . After serving
43,things mechanical . After serving his company loyally
43,After serving his company loyally for over 30
43,"company loyally for over 30 years , he"
43,"over 30 years , he happily retired ."
43,", he happily retired . Several years later"
43,retired . Several years later the company contacted
43,years later the company contacted him regarding a
43,company contacted him regarding a seemingly impossible problem
43,regarding a seemingly impossible problem they were having
43,impossible problem they were having with one of
43,were having with one of their multi-million dollar
43,one of their multi-million dollar machines . They
43,multi-million dollar machines . They had tried everything
43,. They had tried everything and everyone else
43,tried everything and everyone else to get the
43,"everyone else to get the machine fixed ,"
43,"get the machine fixed , but to no"
43,"fixed , but to no avail . In"
43,"to no avail . In desperation , they"
43,". In desperation , they called on the"
43,", they called on the retired engineer who"
43,on the retired engineer who had solved so
43,engineer who had solved so many of their
43,solved so many of their problems in the
43,of their problems in the past . The
43,in the past . The engineer reluctantly took
43,. The engineer reluctantly took the challenge .
43,reluctantly took the challenge . He spent a
43,challenge . He spent a day studying the
43,spent a day studying the huge machine .
43,studying the huge machine . At the end
43,machine . At the end of the day
43,"the end of the day , he marked"
43,"the day , he marked a small ``"
43,he marked a small `` x '' in
43,small `` x '' in chalk on a
43,'' in chalk on a particular component of
43,on a particular component of the machine and
43,"component of the machine and proudly stated ,"
43,"machine and proudly stated , `` This is"
